 (-2.012605030854466E-003,6.038773678178948E-002)
 (-1.380522308905434E-004,-3.464802358845081E-005)
 (-0.294804213763278,0.847756057063027)
 (-8.534029665450339E-002,-0.101336399178878)
 (-0.548122369019563,1.45077665812390)
 (-1.70443250290147,0.478991386882730)
 (-0.733442729739268,0.206130672676111)
 (-3.309493504656890E-005,6.193380498405641E-006)
 (-0.406775974817332,-0.400037358256711)
 (0.116928527993420,0.114988820702867)
 (-1.163611580801314E-005,-1.718203237408088E-005)
 (-2.343958371540721E-002,-7.166426182675751E-003)
 (0.112736320791801,3.447968936524522E-002)
 (1.261087182940121E-006,2.492268614407838E-007)
 (5.55369171059402,-7.506502370497116E-017)
 (9.08024876251109,7.604215146099721E-018)
 (28.0134148703799,-8.558125740682177E-017)
 (-1.566199483175247E-002,-7.747476643645146E-002)
 (-6.740283736263736E-003,-3.334245665513545E-002)
 (3.798670265529778E-006,-1.709095239443849E-005)
 (-9.989043595441965E-002,0.147367469635753)
 (2.871989873887678E-002,-4.237269575162338E-002)
 (8.826350927063311E-006,-1.597882301325840E-005)
 (4.349833256080615E-002,-0.136420767959852)
 (-6.596902577007456E-002,0.206972262994448)
 (-8.027627442756034E-002,0.252010619213845)
 (3.490885464908933E-003,0.666255141986410)
 (-3.015178019861544E-004,-5.824725303585460E-002)
 (1.356760121573436E-002,2.58677612080984)
 (2.043002418533401E-003,8.130713059308330E-004)
 (-3.757280473657998E-002,-1.496064868983255E-002)
 (-0.226375770142991,-9.011235271122962E-002)
 (-6.153343573384359E-002,-4.857316710541384E-002)
 (8.722477358470533E-002,6.885252047251560E-002)
 (-1.70292555512174,-1.34423103730862)
 (-0.138035228264436,-9.802830630967993E-002)
 (7.568885015826432E-002,5.375244569597003E-002)
 (-0.109640033367799,-7.786369693821699E-002)
 (0.799795626316856,0.719903551303008)
 (-0.495361005791355,-0.445878971410842)
 (0.546392645042162,0.491812182636096)
 (2.606283698120462E-003,-3.721229274012715E-003)
 (-7.449488572448150E-004,1.064605979300060E-003)
 (1.055135742010809E-005,-6.328624817794533E-006)
 (7.008538350305028E-002,0.507007927926193)
 (-6.553700488397295E-002,-0.474305598104103)
 (6.166750350651722E-002,0.444219069871723)
 (-3.82152399747798,8.710400438205985E-003)
 (2.73056998016432,-6.229756559951505E-003)
